[train_onemodel - 2018-11-29 01:10:12,933 - INFO] at epoch:  13, under eval mode, labeled_data dice: 0.782 
[train_onemodel - 2018-11-29 01:10:24,377 - INFO] at epoch:  13, under eval mode, unlabeled_data dice: 0.773 
[train_onemodel - 2018-11-29 01:10:26,449 - INFO] at epoch:  13, under eval mode, val_data dice: 0.768 
[train_onemodel - 2018-11-29 01:10:40,398 - INFO] at epoch:  14, under train mode, labeled_data dice: 0.800 
[train_onemodel - 2018-11-29 01:10:53,660 - INFO] at epoch:  14, under train mode, unlabeled_data dice: 0.783 
[train_onemodel - 2018-11-29 01:10:55,947 - INFO] at epoch:  14, under train mode, val_data dice: 0.780 
[train_onemodel - 2018-11-29 01:10:58,999 - INFO] at epoch:  14, under eval mode, labeled_data dice: 0.785 
[train_onemodel - 2018-11-29 01:11:10,775 - INFO] at epoch:  14, under eval mode, unlabeled_data dice: 0.778 
[train_onemodel - 2018-11-29 01:11:12,821 - INFO] at epoch:  14, under eval mode, val_data dice: 0.763 
[train_onemodel - 2018-11-29 01:11:26,649 - INFO] at epoch:  15, under train mode, labeled_data dice: 0.759 
[train_onemodel - 2018-11-29 01:11:39,720 - INFO] at epoch:  15, under train mode, unlabeled_data dice: 0.759 
[train_onemodel - 2018-11-29 01:11:41,891 - INFO] at epoch:  15, under train mode, val_data dice: 0.758 
[train_onemodel - 2018-11-29 01:11:45,131 - INFO] at epoch:  15, under eval mode, labeled_data dice: 0.679 
[train_onemodel - 2018-11-29 01:11:56,929 - INFO] at epoch:  15, under eval mode, unlabeled_data dice: 0.684 
[train_onemodel - 2018-11-29 01:11:59,003 - INFO] at epoch:  15, under eval mode, val_data dice: 0.679 
[train_onemodel - 2018-11-29 01:12:12,786 - INFO] at epoch:  16, under train mode, labeled_data dice: 0.791 
[train_onemodel - 2018-11-29 01:12:25,765 - INFO] at epoch:  16, under train mode, unlabeled_data dice: 0.771 
[train_onemodel - 2018-11-29 01:12:28,049 - INFO] at epoch:  16, under train mode, val_data dice: 0.780 
[train_onemodel - 2018-11-29 01:12:31,156 - INFO] at epoch:  16, under eval mode, labeled_data dice: 0.747 
[train_onemodel - 2018-11-29 01:12:42,898 - INFO] at epoch:  16, under eval mode, unlabeled_data dice: 0.743 
[train_onemodel - 2018-11-29 01:12:45,030 - INFO] at epoch:  16, under eval mode, val_data dice: 0.747 
[train_onemodel - 2018-11-29 01:12:58,953 - INFO] at epoch:  17, under train mode, labeled_data dice: 0.820 
[train_onemodel - 2018-11-29 01:13:12,214 - INFO] at epoch:  17, under train mode, unlabeled_data dice: 0.810 
[train_onemodel - 2018-11-29 01:13:14,468 - INFO] at epoch:  17, under train mode, val_data dice: 0.806 
[train_onemodel - 2018-11-29 01:13:17,627 - INFO] at epoch:  17, under eval mode, labeled_data dice: 0.800 
[train_onemodel - 2018-11-29 01:13:29,210 - INFO] at epoch:  17, under eval mode, unlabeled_data dice: 0.803 
[train_onemodel - 2018-11-29 01:13:31,276 - INFO] at epoch:  17, under eval mode, val_data dice: 0.789 
[train_onemodel - 2018-11-29 01:13:45,195 - INFO] at epoch:  18, under train mode, labeled_data dice: 0.835 
[train_onemodel - 2018-11-29 01:13:58,220 - INFO] at epoch:  18, under train mode, unlabeled_data dice: 0.818 
[train_onemodel - 2018-11-29 01:14:00,436 - INFO] at epoch:  18, under train mode, val_data dice: 0.822 
